Electrical Conductivity (dS/m),Moisture (%),pH,Temperature (°C),Salinity (ppm),Humidity (%),Nitrogen (mg/kg),Phosphorus (mg/kg),Potassium (mg/kg),Soil Type,Crop Type,Fertilizer
2.47,25.3,6.287380117,28.18837136,410,82.60629652,34,45,21,Clayey,mungbean,NPK
1.98,26.2,6.678695788,28.91842453,627,94.63676767,39,64,52,Sandy,papaya,NPK
0.66,23.3,5.88509677,24.83206631,326,44.17085032,30,41,15,Loamy,mothbeans,Ammonium Sulphate
0.21,14.4,6.551577598,27.52135365,573,60.53657684,1,67,21,Loamy,lentil,DAP
2.08,13.1,6.155939453,23.64142354,640,93.74461474,29,139,205,Sandy,apple,Potash
1.83,22.9,6.770278088,24.9004602,762,89.73524177,109,21,55,Loamy,watermelon,Ammonium Sulphate
1.88,31,5.999969026,26.04371967,856,84.96907151,67,43,39,Clayey,rice,DAP
1.97,33.4,6.712772333,24.63676897,881,90.61964344,50,47,48,Sandy,papaya,Urea
0.37,8.2,5.764615485,28.94099669,178,93.00109012,28,27,32,Sandy,coconut,Urea
1.02,9.6,6.505203696,26.35770906,532,64.57578034,119,30,28,Sandy,coffee,NPK
0.47,33.3,6.489389282,19.48649305,900,16.06240074,45,61,78,Loamy,chickpea,Potash
2.19,27.1,6.452006451,28.7420098,252,85.81675947,31,53,16,Loamy,mungbean,Urea
1.63,31.5,5.800448951,22.43324518,888,92.48667725,29,144,204,Clayey,apple,DAP
0.96,11.1,7.785039076,17.09104223,500,18.25142068,57,57,75,Clayey,chickpea,DAP
0.35,22.6,7.604110177,28.05153602,378,63.49802189,32,76,15,Sandy,lentil,Urea
0.92,26,6.734447425,28.84079155,156,63.37230676,50,64,25,Clayey,blackgram,DAP
0.95,25.4,6.92009048,27.16159076,285,66.76017239,21,78,19,Loamy,blackgram,DAP
1.88,17.2,6.720449769,23.47986888,497,81.73049149,135,43,16,Clayey,cotton,NPK
1.67,5.5,6.551750306,26.81938687,704,87.8274604,109,10,53,Loamy,watermelon,Potash
2.24,22.5,7.806747656,19.40751744,887,18.98030507,43,79,79,Clayey,chickpea,NPK
1.29,12.6,5.562790949,33.4641162,257,83.86742974,14,131,198,Loamy,grapes,Potash
0.48,18.5,5.792744849,20.61162204,886,24.36314135,6,77,25,Loamy,kidneybeans,DAP
1.84,33.7,6.012719118,28.43430726,792,52.10010827,1,76,17,Clayey,pigeonpeas,Potash
1.95,17,6.423216506,23.60115364,458,82.48336987,13,132,203,Clayey,grapes,DAP
1.49,30.2,5.841138354,9.949929082,539,82.55138983,35,134,204,Loamy,grapes,DAP
1.97,10.7,6.766240045,20.0454142,688,80.3477562,76,60,39,Sandy,rice,NPK
1.34,25.2,5.536645599,8.825674745,565,82.89753705,32,141,204,Clayey,grapes,NPK
1.4,34.3,5.565028635,25.14748006,762,83.34688193,83,79,55,Loamy,banana,Ammonium Sulphate
1.18,8.1,5.566704378,27.25373364,545,52.66319725,12,19,31,Clayey,mango,Urea
0.26,5.2,5.270749441,31.99928579,849,54.1077461,32,43,22,Clayey,mothbeans,Ammonium Sulphate
0.45,18,5.630619901,28.1218093,900,46.16888595,23,24,32,Clayey,mango,Ammonium Sulphate
0.27,7.8,6.286515359,28.89578588,842,94.78993038,106,21,52,Clayey,muskmelon,Potash
1.66,27.5,6.647765997,25.17787724,587,62.26244581,81,34,30,Clayey,coffee,DAP
0.92,32.4,7.181907673,31.34920143,629,91.48247612,39,28,10,Sandy,orange,DAP
1.37,18,7.086947687,24.88244467,172,89.39686219,21,6,41,Sandy,pomegranate,DAP
2.29,12.8,6.296976913,18.54141834,800,62.70637578,10,78,18,Sandy,lentil,Urea
0.77,18,6.768001309,23.66805429,116,70.89000744,65,39,45,Loamy,jute,Potash
1.14,26.7,6.97297656,34.89814946,630,63.59948557,39,60,21,Sandy,blackgram,Potash
1.94,5.3,5.579845008,25.39241091,830,98.08951196,32,12,30,Sandy,coconut,DAP
0.73,22.7,5.910634533,27.5529736,425,47.90859131,37,36,27,Loamy,mango,Ammonium Sulphate
0.38,23.4,9.406887533,30.99694676,731,46.42693735,20,50,22,Sandy,mothbeans,Urea
0.87,24.1,7.175344328,22.36509395,712,92.30882391,18,27,41,Clayey,pomegranate,Ammonium Sulphate
0.57,12.3,6.08551916,21.0365275,645,94.33919546,33,134,205,Sandy,apple,NPK
2.34,26.4,7.199106204,27.68167318,695,94.47316879,6,7,7,Sandy,orange,Potash
2.06,7.7,6.325480034,25.11108456,807,83.25447587,38,138,204,Sandy,grapes,Potash
1.66,11,6.64919573,17.30287885,941,15.15405941,24,55,78,Clayey,chickpea,Ammonium Sulphate
2.2,31.3,5.587905967,23.41044706,301,91.69913296,20,129,201,Clayey,apple,Urea
2.05,27.2,6.165084855,28.96318258,443,95.16333673,37,10,32,Clayey,coconut,Potash
0.63,5.4,6.86308576,28.30041493,952,86.20681554,13,57,25,Clayey,mungbean,Ammonium Sulphate
2.25,12.5,4.946263888,31.33170829,622,57.97429171,26,73,21,Loamy,pigeonpeas,Urea
1.44,11.4,6.463538707,24.7634518,958,87.06071115,94,37,41,Clayey,jute,Ammonium Sulphate
2.06,13.1,6.2286454,25.51939719,499,83.98351748,36,133,198,Clayey,grapes,Urea
2.26,12.4,4.94295037,27.10710832,317,50.70880979,36,19,32,Clayey,mango,DAP
0.93,6.9,5.788386951,19.07096165,544,21.21092266,27,80,15,Clayey,kidneybeans,Urea
0.45,18.8,6.660954816,29.19378695,864,91.46241065,99,29,55,Loamy,muskmelon,NPK
0.72,27,5.773454729,18.52510753,321,69.0276233,72,60,25,Sandy,maize,DAP
1.18,23.2,5.609435128,16.51783455,482,20.4555596,23,62,19,Sandy,kidneybeans,Ammonium Sulphate
2.08,25.2,6.249050656,21.58711777,980,82.7883708,85,38,41,Clayey,rice,DAP
2.18,7.4,7.208795456,22.60612115,691,77.34264002,110,39,25,Clayey,cotton,DAP
0.22,33.5,5.94239222,23.43974653,106,63.22011726,34,65,19,Clayey,lentil,Ammonium Sulphate
1.37,30.2,5.82738029,24.1638445,371,19.27907819,29,68,23,Sandy,kidneybeans,Ammonium Sulphate
1.16,29.2,5.804965067,26.31270635,838,98.62048026,30,25,31,Sandy,coconut,NPK
0.71,29.7,5.821194486,24.32116642,115,21.0278674,13,72,21,Clayey,kidneybeans,Ammonium Sulphate
0.48,33,7.106650373,12.22816189,523,90.26457428,8,16,6,Sandy,orange,Potash
0.98,21.3,6.415555956,11.18994268,623,80.8084305,37,144,197,Loamy,grapes,Potash
2.37,11,7.168096055,18.59190771,902,14.77959596,40,58,75,Clayey,chickpea,NPK
0.94,23.5,5.627860549,27.00648436,852,96.46168931,27,8,32,Clayey,coconut,Urea
1.39,27.3,6.242052013,31.08564994,120,66.68832981,5,77,19,Loamy,pigeonpeas,Urea
1.82,27.1,6.583411671,17.66545409,789,91.69865887,31,5,14,Loamy,orange,Potash
1.04,20.6,5.993513566,26.45707778,327,56.40226277,32,48,18,Sandy,mothbeans,Ammonium Sulphate
2.44,7.1,7.491217102,29.84823072,884,60.63872613,38,60,20,Loamy,lentil,NPK
2.41,16.1,5.558807063,26.58580443,387,90.98617591,31,30,29,Clayey,coconut,Urea
0.78,32.6,6.658605362,23.89271875,908,61.78779413,2,75,22,Sandy,lentil,Urea
1.34,22.5,6.037430836,27.94972463,233,76.63713353,113,85,45,Loamy,banana,DAP
0.89,21.1,6.352471866,22.88330922,382,71.59722446,99,38,21,Sandy,maize,Potash
0.86,13.1,6.165084855,28.96318258,503,95.16333673,37,10,32,Sandy,coconut,Ammonium Sulphate
0.28,16.1,5.714799723,24.86374934,764,65.7420046,77,52,17,Sandy,maize,NPK
1.6,31.9,7.70650895,32.88733849,165,64.59457409,30,65,25,Sandy,blackgram,Urea
1.36,25,5.867420996,23.25230817,748,94.54128292,9,139,199,Loamy,apple,DAP
0.32,28.6,6.322396027,24.45840036,703,86.10874614,40,11,44,Clayey,pomegranate,Potash
0.84,18.6,6.372576327,22.08576562,536,83.47038318,66,60,38,Clayey,rice,Potash
2.29,23.9,6.356090905,27.9122104,928,83.36307683,102,73,52,Loamy,banana,NPK
0.75,12.5,6.738030547,24.86094646,358,85.05318563,112,28,54,Clayey,watermelon,Urea
0.53,26.2,6.704104127,29.08417927,202,90.73891887,83,7,45,Sandy,muskmelon,NPK
1.33,17.8,7.045543056,24.18471151,666,69.94807345,99,40,32,Sandy,coffee,NPK
2.47,18.3,6.317153205,20.71219282,868,19.83643308,60,61,78,Sandy,chickpea,DAP
0.76,24.5,6.033550195,23.09348056,200,60.1159381,66,53,19,Loamy,maize,Potash
1.75,33.1,7.70650895,32.88733849,297,64.59457409,30,65,25,Sandy,blackgram,Ammonium Sulphate
1.95,6.9,8.399135958,28.66024187,912,59.3189118,36,58,25,Sandy,mothbeans,Potash
0.75,29.7,5.722579819,24.7947077,325,70.04556743,60,44,23,Loamy,maize,Potash
1.87,13.8,6.520663422,26.283443,562,84.42478917,111,5,55,Sandy,watermelon,DAP
1.05,18.3,6.126436584,22.50050273,336,92.45878335,30,127,204,Sandy,apple,Ammonium Sulphate
1.65,5.7,6.609696734,17.48395377,125,14.76014523,47,79,78,Clayey,chickpea,Urea
1.66,14,6.136286518,26.05968403,220,52.31098539,111,29,31,Loamy,coffee,Ammonium Sulphate
1.43,20.1,6.807487794,19.28889933,605,65.47050802,63,43,17,Sandy,maize,Urea
0.41,6.7,6.150090899,27.33897716,281,90.69759008,98,26,52,Sandy,muskmelon,Ammonium Sulphate
2.12,19.7,4.397698806,28.00937423,810,52.60950014,27,59,20,Sandy,mothbeans,NPK
0.94,32.8,5.791649933,22.8056033,913,56.50768935,77,58,19,Sandy,maize,Ammonium Sulphate
0.63,8.2,6.652642579,25.20406808,866,57.88370456,87,38,29,Clayey,coffee,DAP
0.29,27.9,6.872594461,30.33499674,733,63.54718862,29,70,15,Clayey,blackgram,Urea
1.56,17.3,7.256877571,25.0017188,642,80.53965818,113,41,20,Clayey,cotton,Potash
1.76,24.7,6.354006744,15.78144173,414,92.51077745,22,30,12,Clayey,orange,DAP
0.24,12.8,6.141502001,28.2974764,896,95.41122824,35,30,34,Loamy,coconut,Urea
1.38,9.8,6.762471629,25.79448878,717,84.26830701,120,19,49,Sandy,watermelon,Urea
0.72,9.8,6.591302797,24.56811204,835,92.03009222,3,27,44,Clayey,pomegranate,Potash
1.68,7.1,6.195152442,25.13686519,372,84.88394407,94,70,48,Sandy,banana,NPK
0.6,10.6,5.833940084,23.0429097,331,22.42610972,23,65,20,Loamy,kidneybeans,DAP
1.79,24.9,5.906596905,26.01630259,519,49.94704718,6,63,23,Sandy,pigeonpeas,Potash
1.09,31.5,5.695792761,25.23542319,867,80.68700527,36,128,204,Sandy,grapes,Potash
2.35,29.4,5.510924849,11.82768186,541,80.2827185,37,135,205,Clayey,grapes,NPK
0.52,25.6,7.545258424,19.2582557,595,14.2804191,42,74,83,Clayey,chickpea,DAP
0.98,8.3,6.206582193,18.81198127,123,15.21618225,54,61,77,Loamy,chickpea,Potash
0.46,13.7,7.976889498,23.51308653,208,76.72621429,121,53,19,Sandy,cotton,NPK
2.33,14.3,6.993236001,26.44414097,802,53.83876189,89,28,33,Clayey,coffee,DAP
2.22,12.5,5.547933273,25.0707247,601,95.02156793,0,26,31,Clayey,coconut,Ammonium Sulphate
0.79,20.5,6.436314406,28.56973521,958,95.67906668,25,12,26,Clayey,coconut,Urea
1.72,21.1,6.043485685,25.234661,124,57.53161469,100,32,26,Loamy,coffee,NPK
2.08,15.7,6.354022554,13.20844373,286,94.02769434,39,21,9,Sandy,orange,Urea
1.48,15.6,5.790993052,22.02775403,387,92.96129462,0,123,205,Clayey,apple,Ammonium Sulphate
1.42,29.9,6.784460602,27.55906475,727,58.45742907,88,35,35,Sandy,coffee,Potash
0.76,28.7,6.541150335,29.34033587,437,90.01506395,82,20,54,Loamy,muskmelon,Potash
0.41,14.2,6.880431223,24.97669518,977,83.891805,61,52,41,Sandy,rice,DAP
2.26,32.4,6.184400085,23.71028128,136,89.61794165,18,23,44,Clayey,pomegranate,NPK
2.27,33.6,6.07071786,28.27298134,893,96.93649473,26,10,33,Sandy,coconut,NPK
1.66,14.8,6.743417121,23.52648086,236,68.44030686,105,18,35,Sandy,coffee,DAP
0.98,15.6,5.97229163,18.87492997,607,20.18238348,5,59,15,Loamy,kidneybeans,Urea
1,20.2,7.707332484,25.54960633,326,63.95425534,20,68,23,Loamy,blackgram,Potash
1.87,33.2,7.422318499,23.20683504,419,74.09956958,72,51,40,Sandy,jute,Potash
2.26,31.3,6.058306161,25.78746268,939,60.2816298,6,77,20,Sandy,lentil,NPK
2.24,8.1,6.745104394,22.426733,281,81.53480799,107,43,18,Sandy,cotton,NPK
1.99,16.8,4.759490199,36.04353699,973,43.61444121,20,74,16,Loamy,pigeonpeas,DAP
1.68,21.6,5.554831977,39.70772192,185,82.68593454,25,130,197,Loamy,grapes,Ammonium Sulphate
0.39,20.1,6.157782589,27.14911056,566,67.02664337,30,61,18,Sandy,lentil,Urea
0.57,10.8,6.336426667,29.36947679,152,81.53996362,8,139,199,Loamy,grapes,Ammonium Sulphate
2.27,30.8,5.849076099,27.33368994,959,83.67675197,105,95,50,Clayey,banana,Ammonium Sulphate
1.59,25.3,6.139215944,26.58972517,966,66.14007674,6,59,21,Loamy,lentil,NPK
0.22,30.1,6.443382913,22.20700989,334,93.50574163,13,121,196,Loamy,apple,NPK
0.43,30.8,6.893509446,32.50037548,878,93.47888842,40,64,47,Loamy,papaya,NPK
1.73,27.5,5.980598579,19.3642553,898,83.36094029,21,139,201,Clayey,grapes,Ammonium Sulphate
0.21,18.2,6.206077742,27.59376845,532,92.48519606,18,19,29,Clayey,coconut,Urea
0.57,23.3,6.088064451,29.42017919,595,83.96754496,107,71,55,Clayey,banana,NPK
1.46,9.8,5.915546415,26.42313317,199,83.6995044,116,81,55,Sandy,banana,Potash
1.79,25.2,4.964887857,18.31910448,698,34.69776639,3,68,16,Sandy,pigeonpeas,Urea
1.7,10.4,6.704204398,32.51247398,502,94.65904123,39,52,53,Clayey,papaya,Potash
0.72,25.8,7.097586415,23.39605743,495,72.60512854,81,56,36,Sandy,jute,Urea
1.84,11.9,6.133220586,23.8494014,626,94.34814995,7,144,197,Sandy,apple,NPK
0.75,8.5,6.218923893,28.62911222,514,89.1148059,8,50,21,Sandy,mungbean,DAP
0.95,10,7.592490617,20.41447029,712,82.20802629,72,40,38,Clayey,rice,NPK
1.92,5.1,7.629910253,18.29783597,776,69.6897615,13,61,24,Loamy,lentil,Ammonium Sulphate
1.69,26.6,6.781841984,27.71678273,562,63.29103387,42,79,23,Clayey,blackgram,Ammonium Sulphate
2.15,27,6.119432215,22.36238282,640,91.15761594,12,129,205,Clayey,apple,Urea
1.71,20.4,5.435840509,31.66524687,725,51.98594645,18,20,26,Sandy,mango,Ammonium Sulphate
1.51,9.8,6.395258356,31.52675982,718,90.50621806,37,23,12,Sandy,orange,NPK
0.42,7.5,6.625404348,24.89364635,463,65.61418761,60,46,22,Loamy,maize,Potash
1.05,5.6,5.952384957,26.85851927,229,48.8246387,24,45,19,Loamy,mothbeans,NPK
0.81,10,5.718120393,28.98545306,183,90.73966792,27,30,31,Loamy,coconut,Urea
0.76,31.7,6.208196881,27.83487131,370,83.51444973,22,138,195,Loamy,grapes,Ammonium Sulphate
2.44,12.2,7.42160832,29.6321052,343,65.91359954,44,55,25,Clayey,blackgram,Potash
1.1,15.6,6.904241707,25.3310446,487,84.30533791,96,18,50,Loamy,watermelon,DAP
2.25,8.2,5.889480679,23.80593812,313,92.48879468,40,120,197,Clayey,apple,Potash
1.65,11.7,6.463271076,26.89750174,917,83.89241484,83,23,55,Sandy,watermelon,Potash
2.03,20.6,6.612847999,25.26931156,265,87.55055105,95,16,55,Loamy,watermelon,NPK
1.36,23.2,6.469983276,28.96361426,890,93.88482153,104,25,51,Sandy,muskmelon,DAP
1.53,12.4,5.266227032,33.30711818,158,67.07780816,27,61,18,Sandy,pigeonpeas,Urea
1.33,6.7,5.948342571,27.0828252,701,97.00155491,34,6,30,Clayey,coconut,Urea
0.65,16.7,7.287318723,26.5232969,982,77.17331847,91,38,36,Loamy,jute,Potash
1.86,12,5.782435567,19.8671184,942,86.35590206,36,7,37,Clayey,pomegranate,Potash
0.85,11.6,6.732834334,29.55657523,603,90.70937262,120,8,46,Sandy,muskmelon,Ammonium Sulphate
0.26,33.8,5.570745386,26.92449525,805,91.20106019,38,14,30,Loamy,coconut,DAP
1.68,23.5,6.39474303,27.69637763,222,48.5622488,11,27,30,Sandy,mango,Potash
0.61,21.7,5.875345751,25.75528612,747,83.51827127,83,58,45,Sandy,rice,Ammonium Sulphate
2.36,17.5,6.765094964,25.28784623,512,89.63667876,97,12,47,Loamy,watermelon,DAP
2.39,17.9,6.828187499,28.17432665,238,81.04554836,10,56,16,Loamy,mungbean,Urea
2.3,21.2,5.855457599,25.60033702,328,99.7240104,21,20,31,Loamy,coconut,Ammonium Sulphate
1.05,25.9,6.831706773,29.14305008,373,49.40983294,11,34,32,Clayey,mango,DAP
0.24,26.1,6.601395755,32.39523995,538,94.51768464,24,30,11,Clayey,orange,Ammonium Sulphate
2.34,10.2,5.070175667,25.15745531,661,83.11713476,76,40,43,Sandy,rice,Potash
1.18,20,6.043304899,22.30157427,217,80.64416466,84,51,35,Loamy,rice,NPK
2.42,17.4,6.321152192,21.18667419,813,91.13435689,8,120,201,Sandy,apple,Urea
2.42,31.1,6.876572503,29.65052947,582,42.89833235,20,60,22,Sandy,pigeonpeas,Potash
2.16,23.9,6.500343222,21.53346343,494,82.14004101,93,47,37,Sandy,rice,Potash
0.88,21,6.583411671,17.66545409,802,91.69865887,31,5,14,Sandy,orange,DAP
1.09,8.5,6.80163854,22.21738222,975,72.85462807,69,51,23,Sandy,maize,Ammonium Sulphate
2.16,23.2,6.092725883,18.9802729,559,74.52600826,76,57,18,Loamy,maize,Urea
0.93,8.5,5.676032581,30.01821337,934,50.0983181,28,23,28,Clayey,mango,Potash
0.59,15.1,6.669529416,24.18553163,792,46.68746847,1,76,19,Loamy,pigeonpeas,DAP
1.48,9.3,6.633864582,21.36383757,177,69.92375891,11,74,17,Loamy,lentil,Urea
2.35,25.8,6.760694228,28.08657178,511,80.35005927,6,37,17,Loamy,mungbean,Ammonium Sulphate
1.8,11.2,6.425930938,28.91105641,174,90.78413842,110,25,54,Clayey,muskmelon,Potash
1.51,16.8,7.57125447,22.45616931,394,91.52781832,12,29,13,Clayey,orange,Potash
0.42,31.9,4.603563116,22.99774444,892,60.24218572,39,77,21,Clayey,pigeonpeas,Potash
1.61,11.1,7.04174124,27.24766491,120,66.10123083,58,79,17,Loamy,blackgram,Urea
2.48,20.2,4.772385986,27.75518664,270,52.34605806,18,19,27,Clayey,mango,Urea
0.52,17.6,6.105909623,29.05248036,114,93.92217834,100,6,53,Sandy,muskmelon,Urea
1.39,5.5,6.910823945,26.20811417,310,52.50987966,85,33,25,Clayey,coffee,Urea
2.22,28.8,6.364134968,24.52783742,659,82.73685569,85,37,39,Loamy,rice,DAP
1.9,7.1,6.354022554,13.20844373,185,94.02769434,39,21,9,Loamy,orange,NPK
1.8,19.2,5.978634285,35.99009679,248,52.22780489,11,36,33,Sandy,mango,DAP
1.82,21.8,6.420018717,26.7627493,799,92.86056895,18,30,29,Clayey,coconut,Potash
1.03,23.9,5.286203711,23.43121862,471,83.06310136,60,36,43,Clayey,rice,DAP
0.88,25.7,6.671085817,20.57981887,579,65.34583901,99,36,20,Sandy,maize,Ammonium Sulphate
2.06,12.6,6.880204617,23.92887902,917,88.07112278,88,52,39,Loamy,jute,Urea
2.06,5.3,5.421265283,31.32995611,250,50.22287593,33,31,34,Loamy,mango,Ammonium Sulphate
2.19,26.7,6.876572503,29.65052947,240,42.89833235,20,60,22,Clayey,pigeonpeas,Ammonium Sulphate
2.3,21.1,8.423873703,19.45591848,168,18.02235902,37,55,82,Clayey,chickpea,Potash
1.38,30.1,5.514253142,23.8812458,359,93.45067555,7,141,195,Clayey,apple,Urea
1.35,29.6,6.828982708,25.42900869,945,82.91481799,101,13,54,Clayey,watermelon,Ammonium Sulphate
2.04,30.3,4.697750704,27.32198928,620,34.13737127,40,62,19,Clayey,pigeonpeas,Potash
1.69,19.6,6.206582193,18.81198127,732,15.21618225,54,61,77,Loamy,chickpea,Urea
1.81,15,5.764812076,25.76011662,470,94.65830608,7,21,35,Loamy,coconut,NPK
2.03,28.7,7.517097,29.43463808,518,64.94329356,53,74,15,Loamy,blackgram,Potash
2.25,18.5,6.399891457,27.59350075,200,91.79742953,111,5,50,Loamy,muskmelon,DAP
0.98,10.5,6.7693455,24.44743944,760,82.286484,90,39,43,Sandy,jute,Urea
1.06,30.6,6.166173834,35.39986338,757,49.45962621,26,37,30,Loamy,mango,Ammonium Sulphate
0.42,31.5,6.556372966,28.02952623,964,84.8845732,38,36,21,Sandy,mungbean,Ammonium Sulphate
