Electrical_Conductivity_dS_m,Moisture_percent,pH,Temperature_C,Salinity_ppm,Humidity_percent,Nitrogen_mg_kg,Phosphorus_mg_kg,Potassium_mg_kg,Soil_Type,Crop_Type,Fertilizer
2.43,23.08,7.02,16.7,1941.58,68.62,92.56,66.65,128.82,Sandy,Maize,Ammonium Nitrate
3.2,40.62,4.97,12.39,778.33,87.83,109.32,24.79,215.39,Sandy,Cotton,Ammonium Sulphate
2.04,44.02,4.47,34.09,45.37,44.25,140.18,37.38,339.43,Clayey,Wheat,Ammonium Nitrate
2.32,22.63,8.18,33.25,1067.02,78.01,116.05,53.55,477.6,Sandy,Maize,Calcium Nitrate
1.2,34.18,5.19,25.13,1861.12,36.0,89.85,61.86,89.58,Sandy,Potato,Bone Meal
3.42,37.8,6.22,35.74,1431.7,51.28,30.08,78.66,119.16,Sandy,Tomato,Bone Meal
0.59,27.53,5.58,11.76,690.89,39.41,78.81,9.76,496.61,Clayey,Wheat,Calcium Nitrate
2.23,20.62,6.76,31.53,1969.37,34.64,102.0,16.66,209.25,Loamy,Tomato,Urea
0.94,23.71,5.13,10.61,1981.13,44.75,41.43,67.06,123.11,Sandy,Peanut,Urea
3.88,30.91,5.66,18.25,1482.21,77.97,42.54,85.22,445.37,Clayey,Peanut,Urea
3.47,24.79,8.21,38.47,378.03,60.87,102.51,80.99,484.5,Clayey,Sugarcane,Superphosphate
2.84,38.21,8.67,19.69,1215.94,46.42,133.02,63.45,316.75,Loamy,Sugarcane,Compost
0.67,49.1,4.52,11.28,1101.89,45.82,32.01,89.4,492.49,Clayey,Maize,Compost
3.88,9.41,5.43,36.05,1253.83,50.71,65.28,94.18,363.75,Sandy,Cotton,Urea
1.51,10.34,7.1,17.35,801.19,59.73,62.64,43.6,394.83,Clayey,Wheat,Superphosphate
0.12,19.17,5.31,24.94,1123.27,56.38,14.97,19.72,480.49,Clayey,Cotton,Ammonium Nitrate
3.52,29.93,6.06,29.54,278.39,69.87,19.85,37.05,120.32,Clayey,Sugarcane,Ammonium Sulphate
2.2,14.41,5.08,24.82,1866.52,35.02,103.21,33.12,347.36,Clayey,Peanut,DAP (Di-Ammonium Phosphate)
2.95,16.27,8.36,31.75,484.66,63.76,73.43,79.95,75.07,Loamy,Cotton,Ammonium Nitrate
1.56,35.27,7.24,37.41,1308.61,59.98,98.63,78.39,358.49,Loamy,Peanut,DAP (Di-Ammonium Phosphate)
3.65,48.8,7.86,12.66,1330.81,75.95,84.49,89.05,93.46,Clayey,Potato,DAP (Di-Ammonium Phosphate)
2.28,9.48,8.85,19.72,867.09,66.97,125.62,17.74,417.29,Loamy,Cotton,Urea
1.2,36.45,8.45,18.94,1801.74,42.03,99.08,92.71,362.6,Loamy,Cotton,Potash
3.65,48.8,7.86,12.66,1330.81,75.95,84.49,89.05,93.46,Clayey,Potato,DAP (Di-Ammonium Phosphate)
3.91,18.7,4.96,16.81,936.45,64.0,13.71,65.59,157.81,Sandy,Soybean,DAP (Di-Ammonium Phosphate)
1.24,47.32,5.77,23.54,1724.54,50.25,116.32,16.83,330.4,Loamy,Maize,Compost
0.5,20.37,8.32,34.79,1996.54,48.4,44.41,77.13,119.98,Clayey,Rice,Ammonium Nitrate
3.63,43.45,4.48,27.74,1303.95,83.34,55.26,31.72,271.07,Loamy,Wheat,Urea
3.17,14.52,8.67,37.09,729.0,58.29,122.61,33.98,427.06,Sandy,Peanut,"NPK (Nitrogen, Phosphorus, Potassium)"
0.35,20.96,7.6,36.2,73.14,31.21,26.88,15.18,72.21,Clayey,Tomato,Ammonium Nitrate
1.85,30.38,8.04,19.66,875.2,48.13,39.75,90.94,361.66,Clayey,Potato,DAP (Di-Ammonium Phosphate)
1.47,30.96,5.42,12.96,809.03,67.36,39.39,73.61,396.93,Loamy,Cotton,Compost
1.48,37.41,7.68,13.54,127.75,30.02,55.95,82.75,401.01,Clayey,Potato,Urea
2.13,22.02,7.43,39.84,142.35,87.45,83.05,36.6,443.34,Sandy,Cotton,Superphosphate
0.54,44.93,6.09,31.25,408.89,30.07,82.96,50.22,171.6,Sandy,Tomato,Bone Meal
0.59,39.48,7.27,19.43,524.33,71.42,34.08,47.28,273.41,Clayey,Rice,"NPK (Nitrogen, Phosphorus, Potassium)"
0.71,27.64,4.83,36.21,355.6,75.63,124.42,45.7,265.92,Sandy,Rice,Potash
3.14,44.59,4.57,12.73,1202.15,74.81,26.29,89.13,193.36,Loamy,Sugarcane,Compost
0.36,47.1,8.14,31.42,1807.49,76.05,147.36,21.65,264.9,Loamy,Potato,Ammonium Nitrate
2.89,7.99,6.55,36.54,1938.7,74.77,105.4,34.91,243.59,Sandy,Wheat,Superphosphate
2.22,49.46,7.34,14.88,675.51,37.79,109.01,79.23,66.23,Sandy,Wheat,Superphosphate
0.69,9.81,6.74,33.6,501.61,65.02,21.78,79.49,439.57,Loamy,Cotton,DAP (Di-Ammonium Phosphate)
0.75,10.55,4.33,15.15,1976.14,64.92,109.99,19.43,281.03,Clayey,Cotton,"NPK (Nitrogen, Phosphorus, Potassium)"
1.9,44.77,8.11,30.84,1837.96,55.64,81.81,79.01,348.81,Sandy,Soybean,Ammonium Sulphate
1.73,26.85,7.27,29.03,712.5,78.02,85.58,24.44,235.58,Clayey,Cotton,"NPK (Nitrogen, Phosphorus, Potassium)"
3.89,32.03,4.55,31.85,489.62,80.89,60.92,43.98,90.44,Clayey,Tomato,"NPK (Nitrogen, Phosphorus, Potassium)"
2.28,14.4,4.7,37.77,1242.25,78.49,91.88,89.39,262.3,Sandy,Potato,DAP (Di-Ammonium Phosphate)
3.79,49.13,6.75,10.6,718.46,87.56,67.84,44.79,123.13,Loamy,Soybean,"NPK (Nitrogen, Phosphorus, Potassium)"
3.61,14.56,8.97,30.64,497.07,76.75,135.48,98.49,324.44,Clayey,Cotton,Calcium Nitrate
0.3,40.43,7.13,22.28,258.81,86.3,96.29,97.56,108.07,Loamy,Maize,Urea
0.81,5.99,5.07,22.42,986.6,41.85,7.0,63.44,71.25,Clayey,Potato,Superphosphate
2.44,15.24,7.71,19.0,407.77,54.52,44.68,11.91,229.85,Sandy,Cotton,Superphosphate
2.85,46.77,4.63,10.03,363.0,72.04,70.65,34.52,71.11,Sandy,Maize,Bone Meal
0.81,41.04,7.65,26.27,1085.4,68.76,133.51,74.29,170.92,Sandy,Wheat,Ammonium Nitrate
3.33,28.34,6.12,19.25,1497.12,44.43,67.78,79.47,224.72,Clayey,Cotton,Ammonium Sulphate
3.15,44.29,5.6,39.78,1039.48,38.43,89.68,68.07,433.81,Clayey,Rice,"NPK (Nitrogen, Phosphorus, Potassium)"
2.31,14.63,6.95,32.14,105.35,75.51,20.18,48.31,344.69,Clayey,Peanut,Ammonium Nitrate
2.1,19.12,6.81,22.06,1934.64,82.43,26.75,21.55,79.9,Sandy,Soybean,Ammonium Nitrate
2.92,36.57,4.86,22.99,1724.5,53.31,12.54,54.84,454.25,Loamy,Tomato,Calcium Nitrate
0.22,8.01,4.71,25.36,854.9,50.91,138.66,95.89,408.89,Sandy,Cotton,"NPK (Nitrogen, Phosphorus, Potassium)"
0.4,5.73,7.69,10.43,1990.11,58.61,94.6,34.23,114.58,Loamy,Wheat,Calcium Nitrate
1.32,23.25,6.95,37.82,765.93,77.8,101.18,75.06,61.56,Clayey,Maize,Ammonium Sulphate
1.03,16.75,4.55,17.39,1712.19,31.85,140.19,69.13,253.52,Sandy,Soybean,Bone Meal
1.5,27.77,4.22,39.21,798.8,80.54,37.52,36.32,83.27,Loamy,Rice,"NPK (Nitrogen, Phosphorus, Potassium)"
2.82,26.34,8.91,18.89,78.78,40.96,100.46,13.35,494.48,Clayey,Soybean,Ammonium Sulphate
3.32,19.7,8.37,19.03,537.59,41.75,90.47,55.22,418.58,Loamy,Maize,Compost
3.08,35.2,7.08,10.89,111.93,79.33,76.77,76.25,383.15,Sandy,Rice,Compost
1.75,17.84,6.22,17.34,1472.11,46.16,85.93,26.59,414.31,Sandy,Tomato,Bone Meal
0.91,6.77,4.35,26.61,434.49,44.61,80.17,59.24,356.7,Loamy,Wheat,Ammonium Sulphate
0.52,24.51,8.37,21.35,1318.8,31.6,7.35,65.6,158.14,Sandy,Rice,Potash
1.73,18.65,4.78,10.45,1313.24,63.93,136.39,97.62,112.76,Clayey,Wheat,Ammonium Nitrate
3.74,48.89,8.23,12.28,315.38,83.64,135.61,21.24,187.55,Clayey,Soybean,Calcium Nitrate
0.21,30.07,7.84,31.62,1093.03,34.4,48.14,96.43,303.07,Clayey,Wheat,Calcium Nitrate
1.28,31.36,6.85,35.27,1025.96,82.92,37.39,72.63,392.26,Clayey,Cotton,Ammonium Nitrate
3.35,18.8,8.89,12.52,1771.85,89.06,124.4,83.43,57.66,Sandy,Maize,"NPK (Nitrogen, Phosphorus, Potassium)"
1.81,19.53,6.98,14.81,723.18,71.65,31.86,70.85,146.58,Sandy,Wheat,Superphosphate
2.84,38.05,4.27,21.24,129.33,77.49,145.0,44.5,198.1,Clayey,Cotton,Calcium Nitrate
1.56,35.27,7.24,37.41,1308.61,59.98,98.63,78.39,358.49,Loamy,Peanut,DAP (Di-Ammonium Phosphate)
2.28,24.59,8.21,11.26,551.85,47.86,51.38,16.88,316.49,Sandy,Maize,Urea
1.35,23.5,4.24,14.72,1309.86,74.87,75.99,90.58,391.28,Clayey,Tomato,Superphosphate
3.29,7.01,6.77,13.21,748.53,41.21,116.55,67.23,343.04,Clayey,Peanut,DAP (Di-Ammonium Phosphate)
2.72,37.92,5.03,26.97,1607.5,60.17,64.24,58.92,138.74,Clayey,Wheat,Bone Meal
0.98,40.01,7.14,24.34,1013.11,55.69,99.66,54.3,226.83,Sandy,Sugarcane,DAP (Di-Ammonium Phosphate)
3.07,31.82,8.88,29.02,1255.26,67.92,95.75,99.76,132.17,Clayey,Maize,Urea
3.98,45.95,6.06,22.78,866.73,43.52,117.97,96.88,397.03,Clayey,Potato,Calcium Nitrate
1.26,30.77,8.14,39.59,1064.47,46.72,53.46,18.46,274.63,Clayey,Potato,Potash
0.97,15.41,5.33,26.64,410.52,43.4,17.19,19.14,52.73,Loamy,Rice,Potash
3.56,9.62,5.05,30.36,585.67,42.13,102.25,73.65,74.6,Sandy,Cotton,Urea
0.47,44.72,7.57,12.64,835.71,56.95,73.96,85.35,77.97,Loamy,Cotton,Compost
1.36,8.09,5.84,31.95,1917.38,85.87,110.47,16.85,289.39,Loamy,Tomato,DAP (Di-Ammonium Phosphate)
1.48,14.51,4.65,23.93,1984.34,78.59,133.94,70.85,395.43,Sandy,Maize,"NPK (Nitrogen, Phosphorus, Potassium)"
0.75,30.61,4.45,15.09,1667.22,81.92,8.31,30.11,428.85,Loamy,Soybean,Ammonium Nitrate
0.97,37.93,4.36,33.7,557.26,55.84,79.15,77.85,72.34,Clayey,Sugarcane,Bone Meal
2.5,48.62,8.06,10.6,967.36,32.76,93.84,7.72,152.4,Loamy,Soybean,Compost
0.14,49.74,5.51,25.8,1307.61,84.54,70.74,63.11,207.01,Sandy,Rice,Potash
1.76,46.8,8.05,28.32,1578.15,68.3,68.37,26.0,299.16,Loamy,Potato,"NPK (Nitrogen, Phosphorus, Potassium)"
2.39,8.03,5.52,25.52,348.71,57.51,117.7,16.55,146.63,Sandy,Wheat,Compost
2.53,8.04,4.71,35.57,636.27,33.16,72.83,19.81,334.04,Loamy,Soybean,Urea
0.25,43.62,6.6,30.59,1811.91,31.15,134.24,41.1,499.61,Clayey,Tomato,Potash
0.26,34.78,6.91,21.96,1115.32,42.09,45.5,78.37,107.58,Clayey,Rice,Ammonium Sulphate
1.69,16.59,5.94,26.45,1133.33,81.42,136.43,98.34,424.15,Clayey,Cotton,"NPK (Nitrogen, Phosphorus, Potassium)"
3.95,19.19,6.35,33.43,1739.52,61.28,76.6,6.99,470.31,Sandy,Maize,Ammonium Nitrate
1.38,34.45,8.58,17.93,1146.26,54.04,125.5,99.72,303.81,Loamy,Tomato,Urea
1.08,46.52,8.87,33.26,269.75,65.27,11.56,89.56,225.0,Loamy,Potato,Bone Meal
3.84,41.72,8.96,39.8,281.21,43.58,45.91,61.5,242.89,Sandy,Soybean,Compost
0.78,33.46,7.25,35.3,682.4,46.36,122.47,57.46,396.65,Sandy,Sugarcane,Superphosphate
1.02,17.92,7.32,38.75,712.84,75.79,22.21,57.02,83.45,Clayey,Tomato,Ammonium Sulphate
1.81,18.85,8.02,32.47,1137.54,84.5,80.19,47.46,234.77,Loamy,Maize,Compost
1.98,9.35,4.37,23.21,1555.62,73.12,65.97,95.11,158.02,Sandy,Cotton,Calcium Nitrate
1.49,44.64,4.4,10.76,286.4,73.62,111.35,33.7,93.89,Clayey,Rice,Potash
3.56,23.5,8.66,32.92,852.0,51.6,78.23,74.12,82.44,Loamy,Peanut,Compost
3.34,22.69,4.23,29.84,1511.36,38.53,141.61,37.96,486.91,Loamy,Tomato,Calcium Nitrate
3.49,41.92,7.47,14.26,616.84,75.1,121.19,48.69,221.04,Clayey,Potato,DAP (Di-Ammonium Phosphate)
2.06,32.35,8.56,13.68,1954.38,67.18,90.55,13.98,229.9,Sandy,Soybean,Bone Meal
0.5,23.3,6.41,26.9,936.65,35.4,138.21,20.09,144.42,Sandy,Potato,Calcium Nitrate
2.65,17.83,6.04,27.09,565.0,69.06,87.2,95.4,83.6,Clayey,Rice,Ammonium Nitrate
0.39,25.5,6.95,18.78,714.54,48.22,35.9,83.04,361.1,Clayey,Maize,Calcium Nitrate
1.45,40.99,6.27,24.64,1079.9,51.6,33.95,18.42,355.04,Loamy,Rice,Compost
3.58,16.18,5.33,38.13,1577.9,33.43,110.01,31.77,477.4,Loamy,Cotton,Bone Meal
1.11,38.2,7.5,23.68,1452.88,73.02,127.46,87.6,218.86,Clayey,Rice,Bone Meal
3.88,41.07,6.78,25.22,1490.93,84.89,104.14,78.68,398.09,Clayey,Tomato,Compost
2.57,14.41,4.26,11.85,621.41,70.05,70.87,64.22,466.54,Loamy,Peanut,Urea
0.33,31.82,5.12,18.55,1113.78,45.75,8.52,28.29,142.71,Sandy,Maize,Bone Meal
3.65,13.13,4.79,21.51,47.61,79.95,32.86,69.49,362.92,Sandy,Wheat,"NPK (Nitrogen, Phosphorus, Potassium)"
2.99,16.01,4.53,39.09,1395.61,52.13,96.58,15.49,304.39,Loamy,Rice,Potash
0.42,23.24,6.21,31.17,1775.18,44.54,147.17,66.98,96.58,Clayey,Soybean,Calcium Nitrate
0.9,42.1,8.48,13.01,213.85,53.86,101.75,74.82,230.56,Loamy,Sugarcane,DAP (Di-Ammonium Phosphate)
0.27,49.56,7.82,31.87,925.66,88.0,115.28,58.85,422.1,Loamy,Maize,"NPK (Nitrogen, Phosphorus, Potassium)"
2.18,20.39,6.86,39.75,1749.15,46.01,44.89,79.1,121.32,Loamy,Cotton,Urea
1.53,5.86,5.83,17.99,970.51,87.55,128.63,69.44,437.5,Sandy,Peanut,Ammonium Sulphate
2.89,44.57,8.65,35.79,690.1,64.53,101.55,8.72,408.89,Clayey,Soybean,Potash
3.27,38.4,8.67,15.31,376.37,77.36,116.31,33.15,106.07,Sandy,Peanut,Compost
0.97,42.03,7.78,32.38,545.06,89.09,67.63,6.31,484.5,Clayey,Tomato,Ammonium Nitrate
3.95,19.44,6.55,25.18,1612.22,36.63,107.42,35.34,318.87,Clayey,Sugarcane,Compost
3.27,49.15,6.98,24.28,242.28,57.45,109.07,52.16,132.29,Clayey,Tomato,Ammonium Nitrate
2.07,7.22,4.67,22.48,1226.1,34.59,95.48,59.66,227.82,Sandy,Cotton,Ammonium Nitrate
2.56,40.27,5.0,24.03,285.57,71.52,130.64,6.74,407.27,Sandy,Tomato,Bone Meal
0.96,6.56,5.25,36.58,1131.08,32.68,114.52,98.17,457.2,Clayey,Rice,Potash
2.24,49.5,4.98,31.3,929.25,60.35,50.7,65.23,135.71,Clayey,Maize,DAP (Di-Ammonium Phosphate)
0.91,9.51,6.83,18.68,530.68,45.56,68.21,70.58,210.76,Loamy,Peanut,Compost
0.38,49.8,5.6,10.0,933.27,69.29,77.7,87.56,57.96,Sandy,Cotton,Calcium Nitrate
2.98,47.9,5.1,20.17,505.67,32.56,79.08,74.15,273.99,Sandy,Soybean,Ammonium Nitrate
2.8,13.14,6.79,21.83,775.16,79.6,139.58,21.66,418.13,Clayey,Sugarcane,Ammonium Sulphate
2.71,29.19,7.76,38.55,89.82,69.55,87.44,20.19,131.2,Sandy,Peanut,Bone Meal
0.74,7.79,6.15,33.66,167.62,34.39,90.43,48.52,63.96,Loamy,Wheat,"NPK (Nitrogen, Phosphorus, Potassium)"
3.49,23.41,7.52,15.48,1048.14,31.31,121.96,87.37,152.56,Loamy,Wheat,Potash
