Electrical Conductivity (dS/m),Moisture (%),pH,Temperature (°C),Salinity (ppm),Humidity (%),Nitrogen (mg/kg),Phosphorus (mg/kg),Potassium (mg/kg),Soil Type,Crop Type,Fertilizer
0.479754485,24.07278612,5.810056865,21.45133664,8.991964486,85.80009471,133.8292994,32.99786747,198.6581054,Loamy,rice,Compost
0.616052412,11.74079289,6.37161033,21.85667809,5.942037021,79.1687661,143.7086617,32.5480086,212.8797559,Loamy,rice,Compost
0.217505159,18.49704873,6.338698125,25.04186116,2.073083176,83.4095404,122.5804353,35.9686526,132.5075237,Sandy,rice,Vermicompost
0.295888554,12.2715233,4.975435215,20.35486345,5.983563761,81.29592824,124.6843405,31.02034764,144.6633405,Clayey,rice,NPK
0.443563203,23.26526771,6.178849034,26.48912485,12.05006249,82.60279751,239.1988732,35.39497611,125.2112054,Clayey,rice,NPK
0.313839735,24.07651245,5.910557418,26.88242709,8.009606614,83.08627745,231.6196141,33.77872233,124.1813141,Clayey,rice,NPK
0.310461377,20.55886821,5.937508201,26.23406654,5.97637435,81.41623182,198.3099841,38.26597294,240.063185,Sandy,rice,DAP
0.779767211,18.25424896,5.596909584,24.56548843,7.061975283,82.35979255,148.2321185,33.21338793,231.6261907,Loamy,rice,Compost
0.230423303,19.50588482,7.400892036,21.13388505,3.016893986,84.13626078,169.9407477,35.96166411,199.5619494,Clayey,rice,NPK
0.463015249,10.48588446,5.630674577,23.58667047,8.97811242,82.36453234,130.8311465,38.8887748,148.5436721,Clayey,rice,NPK
0.611203823,19.78322805,6.477983648,23.02835378,5.921919574,81.17265019,133.7071837,36.04629269,168.2678569,Sandy,rice,Vermicompost
0.265517691,17.19978609,5.511705758,25.34523458,2.079089063,84.28456392,230.4259246,35.42426497,130.1513703,Loamy,rice,Compost
0.204438852,23.5257718,6.858083808,26.2858606,5.907093917,80.77322641,212.9918269,38.81967974,134.7036429,Clayey,rice,NPK
0.43793204,22.71549821,6.291985166,23.73727444,12.07263747,84.18141635,222.1278758,36.4275809,230.6471929,Sandy,rice,DAP
0.258877998,10.90717786,7.219384153,26.7664377,7.971992305,81.05306455,158.5009656,38.3504393,133.5849105,Sandy,rice,Vermicompost
0.346252228,14.64485964,6.094362494,24.08835472,6.027867753,81.6000951,177.5434433,37.02047601,144.643427,Sandy,rice,Vermicompost
0.801171108,15.63880785,5.227125435,24.75082769,7.084439945,83.92072663,196.779838,37.57067699,124.8411819,Clayey,rice,NPK
0.214006802,20.83032942,7.735168804,24.20761788,2.930341323,83.67915867,189.0488922,37.37818304,126.6364611,Clayey,rice,NPK
0.473671028,16.50505086,7.099798684,22.28320354,9.013390095,80.75779098,187.7554201,35.33397271,242.3628618,Sandy,rice,Vermicompost
0.617485446,14.77430573,7.694233077,23.95533018,6.052886572,81.64431178,198.0831812,32.45695337,231.0444191,Clayey,rice,NPK
0.312958463,24.89908538,5.248934899,22.98674672,2.051516767,81.69374109,209.6421603,34.4791027,200.7225456,Sandy,rice,DAP
0.278513282,10.94557357,6.733807275,19.70504582,6.005126383,81.14516846,199.2449555,35.94947523,149.6546631,Loamy,rice,NPK
0.440949894,29.21069577,7.428789239,24.15797144,12.02494789,82.44314956,169.0347333,36.49397799,170.5887887,Sandy,rice,DAP
0.322482735,21.29060236,5.677486418,22.48598349,8.051505399,81.67552932,120.2333331,39.16046765,128.0302098,Clayey,rice,NPK
0.339789998,16.4601713,5.573497392,26.72822219,6.068205528,84.56849952,132.6149761,36.44114754,133.7389685,Sandy,rice,Vermicompost
0.862187424,13.00814414,6.204873214,23.46651612,7.052362619,86.19099744,163.7906291,34.66214948,229.838183,Clayey,rice,NPK
0.17084925,22.05110766,7.103904245,26.27717569,2.970800989,82.65782944,168.1714214,38.2060417,130.1527398,Sandy,rice,DAP
0.438598286,23.07007964,5.924095978,24.31761094,9.09934528,81.38526805,195.2537972,33.64970955,145.3541594,Clayey,rice,NPK
0.603522729,14.58846301,7.234770239,19.52795483,5.986900539,83.36218734,125.772351,30.18844857,125.4577174,Clayey,rice,NPK
0.248533033,13.6369322,6.506880689,21.85271498,1.904892941,80.74584873,130.2472115,31.4213412,123.1023131,Sandy,rice,Vermicompost
0.239867729,14.55117876,7.605668101,21.31907306,5.97252339,82.02198435,145.9554969,33.64628989,239.784119,Clayey,rice,NPK
0.374134903,14.63903722,5.851057601,26.34127342,11.92555659,83.73804998,124.9998509,33.24529991,230.8407402,Sandy,rice,Vermicompost
0.315873751,19.62219541,6.977265633,20.77261554,7.924288523,84.51029731,125.6043159,34.09130842,200.6635873,Clayey,rice,NPK
0.315675333,13.77646044,6.913185731,22.13468007,5.956307008,81.54795954,241.9288182,32.45252464,148.6849168,Loamy,rice,NPK
0.798093451,12.8716637,5.785740344,20.94482047,6.910675099,84.55082966,229.3518631,31.64272359,168.2267793,Sandy,rice,Vermicompost
0.216269608,16.87291994,6.690137791,24.31470646,3.037702438,82.52888441,200.9071222,36.08579182,129.0761949,Sandy,rice,Vermicompost
0.433092422,15.31914882,5.592932195,20.80626324,8.914797777,79.71526199,148.5467533,38.19730579,135.2748389,Clayey,rice,NPK
0.679219698,10.40449154,6.929973153,26.7416888,5.940657911,82.53023313,169.3580236,37.04199225,229.1409396,Sandy,rice,Vermicompost
0.223455064,18.91545301,5.00705201,24.36813448,1.918579943,80.03316243,130.770981,34.17788357,199.3974778,Loamy,rice,Compost
0.299688694,23.43453044,6.370538666,23.07800349,5.912633546,80.85267385,134.0115019,31.45977333,150.654059,Loamy,rice,Compost
0.424224477,18.79081186,6.873990139,24.90425637,11.95355033,83.6517624,232.8697057,32.51852146,168.522968,Loamy,rice,NPK
0.252871568,26.50066795,7.291895521,22.55806667,8.014379794,81.12967546,209.3556898,33.68352082,127.9437871,Clayey,rice,NPK
0.280552212,28.49805711,6.61119105,24.1711988,6.092937111,82.74850576,221.9102264,38.90628468,134.1419706,Sandy,rice,DAP
0.851546143,26.97908818,7.302324245,22.23940192,7.075111331,83.57595806,157.2496093,36.99807861,232.8129268,Clayey,rice,NPK
0.232685734,12.72891175,7.05726352,26.10327947,3.075186785,85.46704468,178.520841,34.52106273,131.1493705,Sandy,rice,Vermicompost
0.491900717,21.75800646,6.914079403,22.97935637,8.935213407,81.8387083,196.314828,39.04969671,144.9501097,Loamy,rice,NPK
0.676127035,11.73739841,7.879427504,26.10943637,5.952981439,80.78168143,187.7014712,30.13893406,123.5997235,Loamy,rice,NPK
0.223404465,16.46719469,5.013826456,24.98495336,1.915278663,81.7233343,187.0353212,37.65222303,126.5895867,Clayey,rice,NPK
0.236846573,29.66912059,6.12310565,25.93237155,6.055693668,82.31921911,199.9949754,35.17497338,239.2875595,Clayey,rice,NPK
0.358586906,25.56435079,7.52268583,23.20690213,11.91396326,83.4673217,209.6558485,39.97775824,231.2645904,Sandy,rice,DAP
0.319310343,19.73109912,5.688321465,26.25050655,8.011339134,80.96939157,201.3865282,34.45805182,201.3844788,Loamy,rice,Compost
0.342329813,11.82169346,5.722690763,25.68095435,5.949575114,82.96846696,167.5276158,37.27180084,151.9524703,Loamy,rice,Compost
0.803089802,28.78667718,6.320986448,25.50667416,6.948689127,80.28002455,120.1409778,31.5686902,200.794902,Sandy,rice,DAP
0.168355835,16.7964708,5.960520391,25.46579633,3.098145011,85.85752303,133.5801817,39.30649243,149.5197419,Sandy,rice,Vermicompost
0.450098232,12.5562948,5.47189899,24.43138404,9.051355961,79.29636849,163.9177666,30.42080338,169.6472974,Sandy,rice,Vermicompost
0.631518332,28.2104431,6.388649066,21.66359425,6.067387872,83.54505403,166.4413689,33.57054013,128.4067289,Loamy,rice,Compost
0.288960618,27.14520593,5.150648992,23.54104975,2.014396537,80.55988951,195.4068738,30.22162321,134.4144524,Sandy,rice,DAP
0.264755747,17.90988321,5.958312247,25.61829183,6.074202857,80.10753236,171.004666,31.7903008,231.9576231,Loamy,rice,Compost
0.435721274,26.01981722,5.133027624,23.90005357,12.02909811,81.04449524,128.2486468,36.68084339,133.2778703,Loamy,rice,Compost
0.280221493,12.41557467,6.500816124,20.92327363,8.089234741,84.13287437,134.8691265,31.35761469,144.6663724,Loamy,rice,NPK
0.291959425,28.30593027,7.105439743,26.47600836,5.956267717,82.5348143,229.8000424,31.13482925,124.866834,Sandy,rice,DAP
0.841324479,13.87983951,7.467466409,23.32411002,7.019063909,84.61812282,210.840288,34.41713806,126.6648904,Sandy,rice,Vermicompost
0.238078505,10.66030229,6.166963272,25.80284754,3.03802627,80.80604923,221.0611595,38.71872319,242.6832992,Clayey,rice,NPK
0.47512772,17.20864806,7.597481514,27.16242486,8.978587461,83.58510298,158.8061129,34.24394887,231.816116,Loamy,rice,NPK
0.676096718,16.16086721,6.031551994,22.92953666,6.075941596,83.20595801,179.0763884,33.31186419,200.5476088,Sandy,rice,Vermicompost
0.26537956,23.80991512,6.645525658,22.05621262,2.095960633,83.69441844,199.0480398,31.08800665,150.1261043,Sandy,rice,DAP
0.253273283,27.64274557,6.458647098,20.88788219,5.998753898,81.90472628,122.0630892,33.54835488,163.7327907,Loamy,rice,Compost
0.389754102,11.43938532,5.904850604,22.15472889,11.97812813,83.62095718,130.7134874,33.4441514,176.4945186,Clayey,rice,NPK
0.235541913,14.72920068,7.066731116,27.02894258,7.994387586,86.0152796,163.0551364,32.15162686,194.942844,Sandy,rice,Vermicompost
0.170789143,28.87388093,5.341798287,23.67785244,5.070547349,82.67380396,175.9612454,33.74515335,197.6377766,Sandy,rice,DAP
0.653142919,28.1823893,5.781537206,22.42732775,7.029093685,64.90802193,188.4552256,32.28111979,249.3079997,Sandy,maize,DAP
0.833641041,20.06301536,6.98058277,25.62413535,8.908954475,70.23513591,53.48518814,49.06970754,73.58281092,Sandy,maize,DAP
0.591435598,15.38397751,6.646849903,24.51772247,13.00843398,71.01868132,49.18616016,46.77402481,71.10246239,Loamy,maize,NPK
0.510857069,26.96558771,6.550802212,20.56663869,6.203460025,57.04716499,53.43111085,49.46903355,66.14570685,Loamy,maize,NPK
0.381756647,26.60608938,6.000575584,18.08247106,7.055707074,63.07413403,51.49774463,46.20551088,72.23091184,Clayey,maize,NPK
0.474929223,16.94888061,6.169268691,22.47202281,8.965662455,56.70208122,48.9897701,51.24122649,67.45336474,Clayey,maize,NPK
0.311038292,23.28043812,6.017760965,26.1395808,6.094401496,67.65119758,50.23242266,47.87298665,67.61458322,Loamy,maize,Compost
0.825555114,23.872071,5.913147347,24.78608529,2.379735621,67.67594433,50.20861528,50.81212375,71.95953046,Clayey,maize,NPK
0.772879817,25.51776908,5.879673426,20.26993718,4.409289763,63.01044566,47.00682013,48.46457538,69.37798007,Sandy,maize,DAP
0.657697991,18.82618619,5.777296122,24.29352883,5.931708307,66.66151556,53.54546324,52.06085206,68.16789349,Sandy,maize,Vermicompost
0.319975145,18.36815029,5.85256894,22.53899613,6.979592075,74.75302183,49.99552512,53.69537839,68.20906654,Clayey,maize,NPK
0.466122129,15.47563112,6.45304474,25.28569139,8.945985033,69.35069696,51.99593306,48.65282017,73.54128156,Clayey,maize,NPK
0.362969765,28.73198625,7.01443202,21.81029065,6.067580285,58.83810469,51.858584,47.36218208,71.60876314,Sandy,maize,DAP
0.830812038,16.43396471,6.099310015,19.51763318,2.419634948,66.37378099,50.86290649,48.8951748,69.70179476,Clayey,maize,NPK
0.813340376,20.24034157,5.909869284,26.18130425,4.565082888,60.40095856,49.19246221,50.1299806,75.67696616,Loamy,maize,Organic Manure
0.737146059,29.53260093,6.182793975,17.40729315,6.076780363,55.54603105,48.892613,49.79429381,71.20197419,Loamy,maize,Organic Manure
0.371367208,20.10454616,6.623937315,24.55898205,7.087410927,69.90917261,51.84341916,48.53654713,68.92127727,Sandy,maize,DAP
0.468657006,29.54538389,5.996120582,25.74618642,8.968187176,65.14810516,53.23520334,51.86808759,69.94339892,Sandy,maize,DAP
0.3592559,17.7059643,6.000721194,23.67138235,6.059415392,58.85030239,51.79914841,50.36415364,69.83356342,Clayey,maize,NPK
0.803934224,28.40482682,6.291851459,18.57033169,2.266812499,62.46571599,50.43476052,50.33056279,71.39408178,Clayey,maize,NPK
0.830744016,25.04273691,6.529562562,24.63014797,4.566023382,74.39183831,49.21329248,47.85231665,74.27053885,Sandy,maize,DAP
0.73960913,16.48892584,5.586176951,18.05480705,6.035910372,72.45410151,47.55427911,48.69009743,72.43705794,Sandy,maize,Vermicompost
0.322800347,10.59689445,6.790993142,18.47355906,6.947234396,68.0487203,53.49936919,51.42734437,67.66125696,Clayey,maize,NPK
0.461005192,20.78915046,5.731717022,19.78132588,8.975398766,58.9179889,49.38770054,46.56636654,72.71212452,Sandy,maize,DAP
0.292793516,21.2846331,5.528232073,25.3740527,6.101342353,67.54177364,46.63770483,51.19915732,71.87490242,Sandy,maize,DAP
0.792710779,26.58557308,6.536268874,26.18426487,2.325628011,67.55552333,53.5382672,50.86038791,75.44539996,Sandy,maize,DAP
0.831801477,19.81989555,5.855786741,23.42985955,4.577745546,58.07368213,51.72065781,49.01318033,68.87266748,Clayey,maize,NPK
0.736073058,13.45618346,5.961625339,22.5138902,5.976113227,70.22103621,48.07436823,48.61524686,68.41169269,Loamy,maize,Organic Manure
0.291695213,11.72607649,5.625386049,23.43027646,7.081704806,62.45865332,49.15905795,49.2456607,70.47123385,Clayey,maize,NPK
0.50107473,20.609262,6.54977911,25.54409664,8.988273512,63.97626554,48.95706698,47.01990901,71.6953379,Sandy,maize,DAP
0.3117411,11.97875605,6.205893494,21.67205008,6.149274535,62.59308549,46.39895836,51.67245239,69.29972834,Loamy,maize,Organic Manure
0.772210781,10.76924598,6.652763512,18.0632301,2.406050864,54.18082193,48.86223687,49.68417808,69.70659688,Loamy,maize,NPK
0.761986537,10.342518,6.536130838,22.08345286,4.581515141,68.98818594,48.38482297,46.95472977,71.87858572,Clayey,maize,NPK
0.683761517,26.02168112,5.667721604,22.24749243,5.911390573,61.32571004,49.92980046,52.99404621,71.44486648,Loamy,maize,Organic Manure
0.38529097,16.13729461,6.643550409,24.12174695,6.941140859,64.30350328,45.45731998,50.81675936,67.03884432,Loamy,maize,NPK
0.482320293,16.08472429,6.480831604,25.46709463,8.995381085,72.81347849,50.09428629,49.36465846,65.37054585,Loamy,maize,Compost
0.321879062,15.55547522,5.685830203,19.9242283,6.086310858,61.61278281,50.28336334,52.22721268,70.24138881,Clayey,maize,NPK
0.820301896,25.37118839,6.850313285,21.75750466,2.348178333,58.67428946,49.37111878,49.47257542,66.10807367,Loamy,maize,NPK
0.78636296,22.72491651,6.256695635,23.0026298,4.58894181,75.65203733,52.10084527,51.21109827,70.86550139,Sandy,maize,DAP
0.747178208,28.79590769,6.071513833,19.68474595,5.922480942,73.9910604,48.46124563,47.10034834,66.36532209,Clayey,maize,NPK
0.387244729,14.66359115,6.196357452,24.31132732,6.990371733,74.04520997,53.37445882,48.04576255,74.78063004,Clayey,maize,NPK
0.47517823,17.55334396,5.742932653,25.71641885,8.938482208,69.06710542,53.64941235,50.8623293,70.24145149,Loamy,maize,Compost
0.319724851,25.50293985,6.445102069,21.97199849,6.17882152,60.25630133,47.80864301,48.85345156,73.11641918,Clayey,maize,NPK
0.780087831,24.4615838,5.971346546,24.72583724,2.412916037,57.77436705,47.90106311,52.3710908,73.99495484,Sandy,maize,DAP
0.778484049,22.50706592,6.846732675,22.16494894,4.495740336,73.31060063,50.64715434,51.56803811,70.32968342,Sandy,maize,DAP
0.653688695,14.51962287,6.452156727,20.88013531,5.92080206,69.30467464,51.59997839,47.25854126,67.96526894,Sandy,maize,Vermicompost
0.351956433,21.18110132,6.245936723,23.93155764,7.057058933,70.01694815,47.85101102,50.83063439,68.96997871,Clayey,maize,NPK
0.500267902,24.98901572,6.769410231,19.06710272,9.03942827,55.54164297,45.17017394,53.17515196,72.08275473,Sandy,maize,DAP
0.275147875,27.50541522,6.307328703,25.21143864,6.070934165,61.8719796,50.51621355,52.05523275,66.86800192,Sandy,maize,DAP
0.777864646,28.49185485,6.782713077,18.7922282,2.397481495,66.62248567,47.42445384,53.92594525,68.12008303,Loamy,maize,NPK
0.840826589,25.3292051,6.674507858,20.43891712,4.595166378,64.07952031,49.34100061,51.61588252,65.7765241,Sandy,maize,DAP
0.673956189,28.34377606,6.681105502,24.68905628,6.01157077,55.40192949,50.9714586,51.89994992,70.79303945,Loamy,maize,NPK
0.305489487,17.21951521,6.399386672,19.54922596,7.013145582,63.11272555,49.66503771,52.56853739,75.42212162,Clayey,maize,NPK
0.498945276,20.83135864,6.518778587,18.76611297,8.959502701,64.63486617,47.37108288,47.4568426,70.83685709,Loamy,maize,NPK
0.368565045,20.12392572,5.901155094,23.58355799,6.116901207,61.02391053,48.04523966,50.97136044,66.89699006,Sandy,maize,DAP
0.774205527,27.14315099,5.698742135,19.43832224,2.307928464,60.31572018,47.32861967,49.26474592,69.88443649,Sandy,maize,DAP
0.817213555,25.75994994,5.871640627,20.89659377,4.460438205,61.78685642,50.31281842,46.2084079,67.64648919,Sandy,maize,DAP
0.726161962,14.70403602,5.780145805,21.96089913,5.913437039,56.84848356,45.39249765,50.45075083,71.87251216,Clayey,maize,NPK
0.314763754,18.51132988,6.730230156,18.86153665,6.950541572,68.26865883,54.74076412,51.47416281,68.05568741,Loamy,maize,NPK
0.522821635,11.82624298,6.30074655,21.33515846,8.93957093,64.7575728,47.34758474,49.27558675,67.59929298,Loamy,maize,Organic Manure
0.306778313,20.0437445,5.761487298,23.5591011,6.108408397,59.5860577,48.99002277,49.99885519,69.83185326,Clayey,maize,NPK
0.813230583,18.02191343,5.736120316,18.78147274,2.340334004,70.36483857,52.91435102,52.60553058,70.26788978,Sandy,maize,Vermicompost
0.813352971,29.27444808,5.576234485,23.59745368,4.521714345,61.84448583,51.1152938,47.55756549,70.66563675,Clayey,maize,NPK
0.703577468,19.30772137,5.785362555,26.01221571,5.9776362,73.74058508,51.08026838,47.55286322,70.09904782,Sandy,maize,Vermicompost
0.300028977,16.32254176,5.763609012,18.98327909,6.984245947,69.23524247,48.17389968,47.66776252,74.81038269,Loamy,maize,Organic Manure
0.53353025,15.45894129,6.851112519,20.91706155,9.066847686,58.75429678,49.34734568,50.29566759,73.99932461,Clayey,maize,NPK
0.302078006,26.51897333,6.14758687,20.04837094,6.095246563,67.89729623,52.5805521,47.23345518,67.01271853,Clayey,maize,NPK
0.768651851,15.47340564,6.655357085,25.11174906,2.417554666,74.51008351,54.15854501,48.91002697,74.03498649,Loamy,maize,NPK
0.754077514,15.70868763,5.820048359,22.38053651,4.487923446,59.39083051,52.88936151,48.6826063,73.35033783,Clayey,maize,NPK
0.709089294,17.28330015,6.929837656,25.42655294,6.029916189,62.3746807,52.43353181,48.12363047,74.26482868,Sandy,maize,Vermicompost
0.358756436,16.18259495,6.14435439,18.93139613,6.9100726,69.77210572,53.08869122,48.63982175,67.22736796,Sandy,maize,Vermicompost
0.451658783,18.97069783,6.738702997,22.46064909,9.030667985,59.19078519,52.07589542,48.28474893,69.32871191,Loamy,maize,NPK
0.321209306,24.76855231,5.560149895,19.59565494,6.170285279,57.8485853,49.5457935,47.89848128,65.37743963,Loamy,maize,Organic Manure
0.772649578,15.80054293,5.853087557,24.27951867,2.408491568,72.57425353,46.87476027,48.97188313,67.3412713,Clayey,maize,NPK
0.814517279,15.19426999,7.009653049,24.58349592,4.599464122,55.30020802,49.54165033,52.46998604,70.63355824,Loamy,maize,NPK
0.667436643,11.88634371,5.693614937,25.22602474,5.956435729,64.63513123,51.73179043,50.33939809,68.54133921,Clayey,maize,NPK
0.360093774,27.33853942,6.754337163,21.70250717,7.015074013,66.88672224,50.38353735,51.68326346,73.48591577,Clayey,maize,NPK
0.488673535,13.20276353,5.536749388,18.25291368,8.990143597,59.18438179,52.42846377,47.46736057,71.06562055,Loamy,maize,Compost
0.363672999,17.28062382,5.752456432,23.23193224,6.112763496,71.77863338,52.45111965,49.37536127,72.18137288,Sandy,maize,Vermicompost
0.763752094,25.11390079,6.311948713,22.09486703,2.251490591,70.65130835,49.0753307,47.02242205,72.88355555,Loamy,maize,Organic Manure
0.784106635,21.97018081,6.773265363,25.53066761,4.571229915,70.6584752,52.38987857,51.82392491,72.49606717,Sandy,maize,DAP
0.661347352,24.64524726,6.620720674,26.92446896,6.081913789,66.71414225,51.55829549,51.79887492,69.19837848,Clayey,maize,NPK
0.383469362,23.89273851,6.078193042,18.76113896,6.989932333,62.78936326,52.78350937,51.8059593,67.57435311,Sandy,maize,DAP
0.537733935,24.38190541,5.84035044,24.93470764,8.956085972,57.39431367,47.32576347,50.25548626,70.66805367,Clayey,maize,NPK
0.295794163,22.15058065,6.453323917,22.48381046,6.028166686,59.23710077,52.5112364,49.40870496,74.68124015,Loamy,maize,Compost
0.815998405,14.89746764,6.420043438,25.51064024,2.356752965,65.12491576,54.97628855,47.81609466,68.56619679,Sandy,maize,Vermicompost
0.83172222,15.31629219,6.581083712,25.77338529,4.462446368,71.60173191,49.19404748,49.56124909,71.85257212,Sandy,maize,Vermicompost
0.705520081,25.54498428,6.374166946,25.57025824,6.081907714,62.48677653,47.78666765,50.22370297,75.6862583,Loamy,maize,Organic Manure
0.343965058,21.45765396,6.530647288,25.02985884,7.034202495,68.44234792,48.36475482,50.02769949,70.43985619,Loamy,maize,NPK
0.474185229,29.83626675,5.708148951,18.53503604,9.029137065,70.13781118,53.59490361,52.18386377,73.44783657,Sandy,maize,DAP
0.279310277,22.57290075,6.681544631,20.56653884,6.111880423,62.3925832,53.27899292,50.19239939,68.45392693,Loamy,maize,NPK
0.839721576,22.23507493,6.366150118,17.55979317,2.229155268,72.93467055,53.83021767,50.95532728,70.37890994,Loamy,maize,Compost
0.840041806,25.20314037,6.230541279,27.0523772,4.586384487,72.38863761,47.71737095,48.98412658,69.81410137,Loamy,maize,Organic Manure
0.713310146,10.87539005,6.62745826,18.83155578,6.025587499,61.87458548,46.36544695,48.17689229,67.38824602,Clayey,maize,NPK
0.324902979,26.53703609,6.192581382,25.6970861,7.098812397,58.9871174,54.84948702,48.03849336,69.63001317,Sandy,maize,DAP
0.484920957,14.14206106,6.14052872,18.82787886,9.007471281,73.71869604,50.72920308,48.59129852,70.56266474,Sandy,maize,Vermicompost
0.342595568,14.54926054,6.40341461,23.91683711,6.142022178,63.34735399,51.66155695,47.07982659,68.28151406,Loamy,maize,Compost
0.839711026,27.40023655,6.396778763,18.07149924,2.231241912,61.31518147,53.12524175,50.14763752,67.11874069,Sandy,maize,DAP
0.838708642,23.86611258,6.388921884,19.32780445,4.526347235,60.55392896,50.21869229,49.1549458,71.18234159,Clayey,maize,NPK
0.727987555,11.34192135,6.834458222,26.08946037,6.052929922,72.10659592,52.8109864,52.70441757,74.24702906,Loamy,maize,NPK
0.614203165,17.95376151,7.455124983,16.65596297,4.555702859,15.66872067,50.1701489,51.77949483,68.68212059,Sandy,chickpea,Vermicompost
0.758413996,26.99434232,6.910991905,19.60561613,7.05402233,16.80564528,45.59639158,53.03270833,69.64919834,Clayey,chickpea,NPK
0.307162871,10.25839046,6.040626962,17.14867172,6.945256525,15.3684453,138.9265955,4.151856798,385.095177,Clayey,chickpea,NPK
0.539855419,19.27986557,6.378898788,19.39342881,9.095079696,14.59750442,196.9476055,6.309101203,352.9457205,Sandy,chickpea,Vermicompost
0.330642906,17.31993319,7.169218584,17.5062291,6.199036424,20.66693725,156.8892866,8.118975415,232.8857083,Clayey,chickpea,NPK
0.750919705,17.38675281,5.964501518,19.47597105,2.235119175,14.75556995,164.4454802,9.953110048,248.3847655,Clayey,chickpea,NPK
0.760147154,11.88161209,6.193752386,21.45076734,4.587289285,17.45723405,138.4269467,7.831277333,252.613031,Sandy,chickpea,Vermicompost
